epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,7067.25,0.1185,0.14505,0.88792,0.99654,1,0.995,0.995,0.05769,0.08872,0.77779,0.0077626,0.0077626,0.0077626
115,7129.19,0.11952,0.14378,0.88514,0.99632,1,0.995,0.995,0.05728,0.08859,0.77759,0.0077428,0.0077428,0.0077428
116,7191.11,0.12017,0.14911,0.88541,0.99624,1,0.995,0.995,0.05701,0.08972,0.77745,0.007723,0.007723,0.007723
117,7253.04,0.11796,0.14363,0.8854,0.99623,1,0.995,0.995,0.0572,0.09056,0.77737,0.0077032,0.0077032,0.0077032
118,7314.96,0.11775,0.14115,0.88496,0.99596,1,0.995,0.995,0.05738,0.0902,0.77733,0.0076834,0.0076834,0.0076834
119,7376.92,0.12016,0.14257,0.88822,0.99602,1,0.995,0.995,0.05738,0.08978,0.77729,0.0076636,0.0076636,0.0076636
120,7438.97,0.12195,0.14744,0.88912,0.99612,1,0.995,0.995,0.0576,0.08998,0.77747,0.0076438,0.0076438,0.0076438
121,7500.89,0.11932,0.14208,0.88595,0.99612,1,0.995,0.995,0.05724,0.09159,0.77715,0.007624,0.007624,0.007624
122,7562.83,0.11684,0.14095,0.88556,0.99607,1,0.995,0.995,0.0569,0.09162,0.77696,0.0076042,0.0076042,0.0076042
123,7624.76,0.11785,0.14257,0.88575,0.99611,1,0.995,0.995,0.05661,0.09126,0.77687,0.0075844,0.0075844,0.0075844
124,7686.68,0.11817,0.14334,0.88616,0.99613,1,0.995,0.995,0.05625,0.09116,0.77669,0.0075646,0.0075646,0.0075646
125,7748.56,0.11473,0.14006,0.88568,0.99601,1,0.995,0.995,0.05597,0.09055,0.77662,0.0075448,0.0075448,0.0075448
126,7810.51,0.11468,0.14126,0.88475,0.99588,1,0.995,0.995,0.05591,0.08978,0.77674,0.007525,0.007525,0.007525
127,7872.56,0.11517,0.14471,0.8865,0.99566,1,0.995,0.995,0.05582,0.08929,0.77666,0.0075052,0.0075052,0.0075052
128,7934.47,0.11391,0.13993,0.88538,0.99551,1,0.995,0.995,0.05605,0.09014,0.7766,0.0074854,0.0074854,0.0074854
129,7996.96,0.11455,0.14,0.88526,0.99559,1,0.995,0.995,0.05637,0.09029,0.77691,0.0074656,0.0074656,0.0074656
130,8059.13,0.11379,0.13755,0.88372,0.99547,1,0.995,0.995,0.05647,0.09119,0.77707,0.0074458,0.0074458,0.0074458
